index,id_client,id_vehicule,id_contrat,bonus,type_contrat,duree_contrat,anciennete_info,freq_paiement,paiement,utilisation,code_postal,conducteur2,age_conducteur1,age_conducteur2,sex_conducteur1,sex_conducteur2,anciennete_permis1,anciennete_permis2,anciennete_vehicule,cylindre_vehicule,din_vehicule,essence_vehicule,marque_vehicule,modele_vehicule,debut_vente_vehicule,fin_vente_vehicule,vitesse_vehicule,type_vehicule,prix_vehicule,poids_vehicule,nombre_sinistres,montant_sinistre
51,A00000049,V01,A00000049-V01,0.5,Mini,11,3,Monthly,No,Professional,95424,No,56,0,M,,24,0,20.0,1971,78,Gasoline,CITROEN,C25,24,21,124,Commercial,11761,0,0,0.0
52,A00000050,V01,A00000050-V01,0.5,Maxi,6,4,Monthly,No,Retired,58232,Yes,62,57,M,F,43,30,8.0,1997,109,Diesel,CITROEN,XSARA,10,9,193,Tourism,20250,1216,0,0.0
53,A00000051,V01,A00000051-V01,0.5,Median1,12,1,Monthly,Yes,Retired,40222,No,80,0,M,,58,0,22.0,1397,68,Gasoline,RENAULT,SUPERCINQ,24,21,154,Tourism,13828,730,0,0.0
54,A00000052,V01,A00000052-V01,0.54,Mini,5,2,Yearly,No,WorkPrivate,64140,Yes,32,35,F,M,11,16,19.0,1769,60,Diesel,PEUGEOT,205,28,18,155,Tourism,12867,880,0,0.0
55,A00000052,V02,A00000052-V02,0.54,Maxi,2,2,Yearly,No,WorkPrivate,64140,Yes,35,32,M,F,16,11,11.0,2497,164,Diesel,BMW,525,11,10,219,Tourism,37046,1575,0,0.0
56,A00000053,V01,A00000053-V01,0.5,Maxi,12,8,Yearly,No,Retired,83118,No,78,0,M,,54,0,13.0,1396,90,Gasoline,HONDA,CIVIC,17,15,172,Tourism,14011,1090,0,0.0
57,A00000054,V01,A00000054-V01,0.8,Median1,3,3,Yearly,No,WorkPrivate,16078,No,31,0,F,,13,0,17.0,1905,71,Diesel,PEUGEOT,405,23,19,165,Tourism,15535,1080,0,0.0
58,A00000055,V01,A00000055-V01,0.5,Maxi,5,5,Monthly,No,WorkPrivate,51303,No,64,0,F,,31,0,5.0,1086,66,Gasoline,KIA,PICANTO,7,4,154,Tourism,10050,910,0,0.0
59,A00000056,V01,A00000056-V01,0.64,Median2,2,2,Monthly,No,WorkPrivate,11262,Yes,45,43,M,F,25,22,10.0,1753,90,Diesel,FORD,FOCUS,12,9,184,Tourism,18320,1277,1,1236.0
60,A00000057,V01,A00000057-V01,0.5,Maxi,1,1,Yearly,No,WorkPrivate,06092,No,36,0,F,,17,0,7.0,1560,109,Diesel,PEUGEOT,307,7,6,192,Tourism,19750,1512,0,0.0
61,A00000058,V01,A00000058-V01,0.5,Mini,1,1,Biannual,No,WorkPrivate,85300,No,56,0,M,,37,0,20.0,2299,81,Diesel,MERCEDES BENZ,408,22,16,138,Commercial,32000,0,0,0.0
62,A00000059,V01,A00000059-V01,0.5,Maxi,4,1,Biannual,No,WorkPrivate,01367,Yes,51,54,F,M,28,35,12.0,1783,116,Gasoline,RENAULT,LAGUNA,12,11,203,Tourism,19971,1265,0,0.0
63,A00000060,V01,A00000060-V01,0.5,Maxi,5,2,Monthly,No,WorkPrivate,59009,No,43,0,F,,23,0,5.0,1386,89,Gasoline,NISSAN,MICRA,6,3,174,Tourism,16400,1135,0,0.0
64,A00000061,V01,A00000061-V01,1.12,Maxi,2,2,Yearly,No,WorkPrivate,91333,No,26,0,F,,6,0,2.0,1422,81,Diesel,SEAT,IBIZA,3,1,170,Tourism,16090,1075,0,0.0
65,A00000062,V01,A00000062-V01,0.57,Median2,12,2,Biannual,No,WorkPrivate,01350,No,39,0,F,,19,0,10.0,1870,102,Diesel,RENAULT,SCENIC,11,10,174,Tourism,20124,1290,0,0.0
66,A00000063,V01,A00000063-V01,0.5,Median2,26,1,Yearly,Yes,WorkPrivate,55029,No,55,0,M,,32,0,26.0,1108,32,Gasoline,RENAULT,R4 F6,29,26,110,Commercial,6324,1220,0,0.0
67,A00000064,V01,A00000064-V01,0.5,Maxi,25,2,Biannual,No,Retired,77386,Yes,65,78,F,M,41,45,3.0,1598,112,Gasoline,RENAULT,CLIO,6,5,186,Tourism,15850,1180,0,0.0
68,A00000065,V01,A00000065-V01,0.5,Maxi,1,1,Yearly,No,Retired,11322,No,61,0,M,,40,0,2.0,2231,177,Diesel,LEXUS,IS 220,5,2,220,Tourism,39600,1587,0,0.0
69,A00000066,V01,A00000066-V01,0.5,Maxi,7,1,Monthly,No,WorkPrivate,76217,No,50,0,M,,31,0,1.0,1461,64,Diesel,RENAULT,TWINGO,4,1,164,Tourism,12650,980,0,0.0
70,A00000067,V01,A00000067-V01,0.5,Maxi,24,12,Yearly,No,Retired,78362,No,84,0,M,,59,0,12.0,1870,98,Diesel,RENAULT,LAGUNA,13,11,185,Tourism,18752,1310,0,0.0
71,A00000068,V01,A00000068-V01,0.5,Maxi,13,1,Yearly,No,WorkPrivate,42187,No,54,0,M,,32,0,1.0,1461,86,Diesel,DACIA,LOGAN,3,1,161,Tourism,12700,1205,0,0.0
72,A00000069,V01,A00000069-V01,0.5,Median2,3,3,Biannual,No,WorkPrivate,64422,Yes,53,26,M,F,32,6,38.0,1285,44,Gasoline,VOLKSWAGEN,COCCINELLE,39,38,125,Tourism,2266,870,0,0.0
73,A00000069,V02,A00000069-V02,0.5,Median2,3,3,Biannual,No,WorkPrivate,64422,No,53,0,M,,32,0,18.0,1905,71,Diesel,CITROEN,C25,22,17,123,Commercial,18401,0,0,0.0
74,A00000070,V01,A00000070-V01,0.5,Maxi,1,1,Biannual,No,WorkPrivate,91114,Yes,53,52,M,F,33,33,1.0,1149,75,Gasoline,RENAULT,TWINGO,3,1,169,Tourism,10150,955,0,0.0
75,A00000071,V01,A00000071-V01,0.5,Median2,31,2,Yearly,No,WorkPrivate,39097,Yes,66,30,F,M,41,12,5.0,1461,86,Diesel,RENAULT,MEGANE,6,5,174,Tourism,18700,1235,0,0.0
76,A00000072,V01,A00000072-V01,0.63,Maxi,7,1,Biannual,No,WorkPrivate,95203,No,51,0,F,,24,0,4.0,1560,109,Diesel,PEUGEOT,207,4,1,193,Tourism,20550,1275,0,0.0
77,A00000073,V01,A00000073-V01,0.5,Median2,20,4,Yearly,No,WorkPrivate,68300,No,43,0,M,,25,0,16.0,1389,90,Gasoline,OPEL,TIGRA,17,11,190,Tourism,14011,976,0,0.0
78,A00000074,V01,A00000074-V01,0.5,Maxi,1,1,Yearly,No,AllTrips,10323,No,60,0,F,,41,0,3.0,1391,68,Diesel,CITROEN,C2,5,3,166,Tourism,14300,1003,0,0.0
79,A00000075,V01,A00000075-V01,0.5,Mini,1,1,Yearly,No,WorkPrivate,80082,No,46,0,F,,20,0,15.0,954,51,Gasoline,CITROEN,AX,19,18,149,Tourism,8004,1140,0,0.0
80,A00000076,V01,A00000076-V01,0.5,Maxi,26,3,Monthly,No,WorkPrivate,22389,No,81,0,F,,54,0,13.0,1242,75,Gasoline,FORD,FIESTA,13,11,170,Tourism,10428,940,0,0.0
81,A00000077,V01,A00000077-V01,0.5,Maxi,26,2,Yearly,No,Retired,28419,Yes,86,86,F,F,41,45,12.0,1527,58,Diesel,PEUGEOT,106,13,10,158,Tourism,10748,895,0,0.0
82,A00000078,V01,A00000078-V01,0.57,Median2,1,1,Yearly,No,Professional,44047,No,58,0,M,,38,0,10.0,2476,101,Diesel,HYUNDAI,GALLOPER,12,10,140,Tourism,22853,2095,0,0.0
83,A00000079,V01,A00000079-V01,0.5,Maxi,14,12,Biannual,No,Professional,75101,No,56,0,M,,32,0,18.0,3198,200,Gasoline,JAGUAR,XJ6,21,17,211,Tourism,45165,1820,0,0.0
84,A00000080,V01,A00000080-V01,0.5,Maxi,9,1,Monthly,No,WorkPrivate,30189,Yes,51,49,M,F,30,14,5.0,1598,113,Gasoline,RENAULT,MEGANE,9,6,192,Tourism,18200,1175,0,0.0
85,A00000081,V01,A00000081-V01,0.5,Maxi,14,1,Yearly,Yes,Retired,59526,No,84,0,F,,59,0,13.0,1124,60,Gasoline,CITROEN,SAXO,15,11,162,Tourism,8919,805,0,0.0
86,A00000082,V01,A00000082-V01,0.5,Median2,16,6,Biannual,No,Retired,44006,No,82,0,F,,47,0,15.0,1124,60,Gasoline,CITROEN,AX,18,17,167,Tourism,9452,691,0,0.0
87,A00000083,V01,A00000083-V01,0.5,Maxi,1,1,Monthly,No,WorkPrivate,2A032,Yes,57,19,M,F,36,1,6.0,998,68,Gasoline,CITROEN,C1,6,2,157,Tourism,9850,845,0,0.0
88,A00000084,V01,A00000084-V01,0.5,Median2,23,5,Yearly,No,Professional,24037,No,62,0,M,,44,0,26.0,2446,75,Diesel,TOYOTA,HI LUX,27,21,130,Commercial,18668,2415,0,0.0
89,A00000084,V02,A00000084-V02,0.5,Median2,18,5,Yearly,No,Professional,24037,No,38,0,F,,20,0,16.0,1171,60,Gasoline,RENAULT,CLIO,19,15,155,Tourism,11831,820,0,0.0
90,A00000085,V01,A00000085-V01,0.5,Maxi,10,1,Yearly,No,WorkPrivate,92012,Yes,55,24,F,M,36,2,12.0,999,51,Gasoline,VOLKSWAGEN,LUPO,13,11,152,Tourism,9681,898,0,0.0
91,A00000086,V01,A00000086-V01,0.5,Median2,13,1,Yearly,Yes,WorkPrivate,92071,No,66,0,F,,36,0,11.0,1598,101,Gasoline,OPEL,ZAFIRA,12,9,176,Tourism,19400,1300,0,0.0
92,A00000087,V01,A00000087-V01,0.6,Mini,10,2,Biannual,No,WorkPrivate,83042,No,44,0,M,,18,0,16.0,1769,60,Diesel,CITROEN,C15,27,13,134,Commercial,12190,1530,0,0.0
93,A00000088,V01,A00000088-V01,0.5,Maxi,3,1,Yearly,No,WorkPrivate,92020,Yes,36,33,M,F,15,13,4.0,1560,90,Diesel,PEUGEOT,207,5,4,182,Tourism,18750,1205,0,0.0
94,A00000089,V01,A00000089-V01,0.5,Maxi,2,2,Yearly,No,WorkPrivate,62126,Yes,49,47,M,F,15,29,8.0,799,41,Diesel,SMART,CABRIO,8,8,135,Tourism,14540,720,0,0.0
95,A00000090,V01,A00000090-V01,0.5,Median2,23,2,Monthly,No,Professional,40159,No,42,0,M,,23,0,18.0,2663,101,Diesel,FORD,MAVERICK,18,15,145,Tourism,22548,1730,0,0.0
96,A00000090,V02,A00000090-V02,0.5,Median2,8,1,Monthly,No,Professional,40159,No,66,0,F,,43,0,17.0,2068,89,Diesel,RENAULT,R21,25,18,172,Tourism,19514,1135,0,0.0
97,A00000091,V01,A00000091-V01,0.5,Maxi,27,4,Biannual,No,WorkPrivate,67043,No,53,0,F,,34,0,8.0,1598,101,Gasoline,OPEL,ASTRA,11,10,188,Tourism,16610,960,0,0.0
98,A00000092,V01,A00000092-V01,0.5,Maxi,16,2,Monthly,No,WorkPrivate,15140,Yes,54,63,M,F,29,41,10.0,1896,131,Diesel,VOLKSWAGEN,PASSAT,11,7,208,Tourism,25500,1375,1,1429.82
99,A00000093,V01,A00000093-V01,0.5,Maxi,15,9,Yearly,No,WorkPrivate,69259,Yes,56,26,F,M,37,111,10.0,1299,60,Gasoline,FORD,FIESTA,12,9,155,Tourism,9850,930,0,0.0
100,A00000094,V01,A00000094-V01,0.5,Median2,1,1,Yearly,No,Retired,91312,No,79,0,F,,59,0,8.0,1870,120,Diesel,RENAULT,SCENIC,8,6,188,Tourism,24150,1430,0,0.0
101,A00000095,V01,A00000095-V01,0.5,Maxi,26,4,Biannual,No,WorkPrivate,06029,No,56,0,F,,36,0,4.0,998,68,Gasoline,PEUGEOT,107,6,1,157,Tourism,9450,790,0,0.0
102,A00000096,V01,A00000096-V01,0.5,Maxi,6,3,Biannual,No,WorkPrivate,61209,Yes,55,54,F,M,34,35,5.0,1461,86,Diesel,RENAULT,MEGANE,6,4,174,Tourism,19250,1195,0,0.0
103,A00000097,V01,A00000097-V01,0.85,Mini,5,2,Biannual,No,Professional,34172,No,41,0,M,,12,0,9.0,2476,100,Diesel,HYUNDAI,H-1,11,5,132,Commercial,18741,0,0,0.0
104,A00000098,V01,A00000098-V01,0.5,Mini,29,12,Yearly,No,WorkPrivate,29293,No,55,0,M,,36,0,24.0,2260,63,Diesel,BEDFORD,CF,31,27,123,Commercial,11355,0,0,0.0
105,A00000099,V01,A00000099-V01,0.5,Maxi,21,2,Biannual,No,Retired,77400,No,79,0,M,,42,0,16.0,1108,56,Gasoline,FIAT,PUNTO,18,16,150,Tourism,9254,840,0,0.0
106,A00000100,V01,A00000100-V01,0.5,Maxi,28,14,Yearly,No,WorkPrivate,73008,No,53,0,F,,33,0,14.0,1299,60,Gasoline,FORD,FIESTA,15,12,155,Tourism,9971,930,0,0.0
107,A00000101,V01,A00000101-V01,0.5,Median1,13,1,Monthly,No,Retired,24487,No,75,0,M,,52,0,14.0,1905,70,Diesel,CITROEN,BERLINGO,15,13,142,Tourism,14163,1110,0,0.0
108,A00000102,V01,A00000102-V01,0.5,Maxi,8,1,Monthly,No,WorkPrivate,72181,No,43,0,F,,23,0,7.0,1368,96,Gasoline,FIAT,IDEA,7,6,175,Tourism,13960,1155,0,0.0
109,A00000103,V01,A00000103-V01,0.5,Maxi,1,1,Yearly,No,Retired,69384,Yes,64,62,M,F,46,44,3.0,1968,140,Diesel,VOLKSWAGEN,TIGUAN,4,1,182,Tourism,37330,1604,1,1809.02
110,A00000104,V01,A00000104-V01,0.5,Maxi,3,3,Yearly,No,WorkPrivate,54430,No,54,0,M,,33,0,3.0,1339,116,Hybrid,HONDA,CIVIC,5,1,185,Tourism,25350,1293,0,0.0
111,A00000105,V01,A00000105-V01,0.5,Median1,6,2,Biannual,No,WorkPrivate,69114,Yes,57,24,M,M,38,4,8.0,1461,66,Diesel,RENAULT,CLIO,10,8,163,Tourism,13050,960,0,0.0
112,A00000106,V01,A00000106-V01,0.5,Median2,6,6,Yearly,No,WorkPrivate,50458,Yes,55,53,M,F,32,25,23.0,2497,90,Diesel,MERCEDES BENZ,190,26,23,174,Tourism,24719,1175,0,0.0
113,A00000107,V01,A00000107-V01,0.85,Maxi,6,3,Monthly,No,WorkPrivate,24530,No,35,0,F,,14,0,5.0,1461,106,Diesel,RENAULT,SCENIC,6,5,178,Tourism,23350,1465,0,0.0
114,A00000108,V01,A00000108-V01,0.5,Mini,3,3,Yearly,No,Professional,33039,No,41,0,M,,23,0,11.0,1124,60,Gasoline,PEUGEOT,PARTNER,15,9,140,Commercial,11733,1070,0,0.0
115,A00000109,V01,A00000109-V01,0.5,Maxi,28,2,Yearly,No,WorkPrivate,21231,No,54,0,F,,35,0,3.0,1560,90,Diesel,PEUGEOT,207,5,2,182,Tourism,18750,1205,0,0.0
116,A00000110,V01,A00000110-V01,0.5,Maxi,26,2,Monthly,No,WorkPrivate,62457,No,46,0,F,,26,0,4.0,1461,106,Diesel,RENAULT,SCENIC,6,5,178,Tourism,24100,1365,0,0.0
117,A00000110,V02,A00000110-V02,0.5,Maxi,2,2,Monthly,No,WorkPrivate,62457,Yes,50,46,M,F,31,26,2.0,796,51,Gasoline,CHEVROLET,MATIZ,5,3,145,Tourism,8690,805,0,0.0
118,A00000111,V01,A00000111-V01,0.5,Maxi,27,6,Yearly,No,Retired,79049,Yes,64,67,F,M,26,46,11.0,1360,75,Gasoline,CITROEN,XSARA,13,11,175,Tourism,13416,1030,0,0.0
119,A00000111,V02,A00000111-V02,0.5,Maxi,25,6,Yearly,No,Retired,79049,No,67,0,M,,46,0,15.0,1769,60,Diesel,CITROEN,C15,27,13,134,Commercial,12190,1530,0,0.0
120,A00000112,V01,A00000112-V01,0.5,Maxi,23,1,Monthly,No,Retired,85014,Yes,75,74,M,F,55,46,11.0,1997,90,Diesel,CITROEN,BERLINGO,12,11,163,Tourism,15687,1110,0,0.0
121,A00000113,V01,A00000113-V01,0.5,Median1,7,4,Biannual,No,WorkPrivate,67536,No,40,0,M,,18,0,12.0,2188,113,Diesel,RENAULT,ESPACE,15,11,175,Tourism,31329,1630,0,0.0
122,A00000114,V01,A00000114-V01,0.5,Maxi,12,2,Quarterly,No,Retired,71270,Yes,65,67,F,M,39,44,6.0,1870,120,Diesel,RENAULT,LAGUNA,11,6,200,Tourism,26000,1350,0,0.0
